artiest;titel;soort;jaar;label;catalogusnummer;persing;vraagprijs;advies;foto's;discogs
Frédéric Chopin, Witold Malcuzynsky;14 Walsen;LP;;Emi-nent;5C 045-00 495;Netherlands;5.0;los of lot;"IMG20260913170601.jpg;IMG20260913170607.jpg";https://www.discogs.com/release/8829186
Gene Pitney;Emotions;LP;1986;K-Tel (Holland) B.V.;KTLP 230-1;Netherlands;5.0;los of lot;"IMG20260913163229.jpg;IMG20260913163234.jpg;IMG20260913163245.jpg";https://www.discogs.com/release/3788224
Gene Pitney;His 20 Greatest;LP;1976;Arcade Records (3), Arcade Records (3);ADE P22;UK;5.0;los of lot;"IMG20260913163734.jpg;IMG20260913163739.jpg";https://www.discogs.com/release/705868
George McCrae;Rock Your Baby;LP;1974;RCA Victor, RCA Victor;KPL1-0501;Germany;;zeer courant, in een lot;"IMG20260913162716.jpg;IMG20260913162722.jpg";https://www.discogs.com/release/222189
Gerard Joling;Love Is In Your Eyes;LP;1985;WEA, YaYa Records (2);240 749-1;Netherlands;5.0;los of lot;"IMG20260913163554.jpg;IMG20260913163606.jpg;IMG20260913163611.jpg";https://www.discogs.com/release/7133335
Gianni Marzano;Mal D'amour;single;1977;Vogue, Vogue;45. VB. 140.310;France;3.0;los of lot;"IMG20260913165039.jpg;IMG20260913165043.jpg";https://www.discogs.com/release/748538
Gilbert O'Sullivan;Himself;LP;1971;MAM;MAMA 501;Germany;5.0;los of lot;"IMG20260913162345.jpg;IMG20260913162355.jpg;IMG20260913162410.jpg";https://www.discogs.com/release/808253
Gloria Gaynor;Never Can Say Goodbye;LP;1975;MGM Records;2315 321;Germany;;zeer courant, in een lot;"IMG20260913160630.jpg;IMG_20260913_160652.jpg";https://www.discogs.com/release/466488
Herb Alpert & The Tijuana Brass;...Sounds Like...;LP;1967;A&M Records, A&M Records;212 001;Germany;5.0;los of lot;"IMG20260913160904.jpg;IMG20260913160913.jpg";https://www.discogs.com/release/1903233
Hervé Vilard;Elle Etait Belle;single;1974;Trema, Trema;49 058;France;3.0;los of lot;"IMG20260913164352.jpg;IMG20260913164358.jpg";https://www.discogs.com/release/2578822
Jean Vallée;L'Amour Ça Fait Chanter La Vie (Sélection Eurovision 78);single;1978;CBS;CBS 6257;France;3.0;los of lot;"IMG20260913164727.jpg;IMG20260913164733.jpg";https://www.discogs.com/release/4587661
Joaquín Rodrigo, Orquesta Nacional De España, Ataúlfo Argenta, Rafael Frühbeck De Burgos, Narciso Yepes;Concierto De Aranjuez - Fantasia Para Un Gentilhombre;single;1954;Ace Of Diamonds;SDD 220;France;4.5;los of lot;"IMG20260913163331.jpg;IMG20260913163337.jpg";https://www.discogs.com/release/5407756
Joe Dolan;Lady In Blue;single;1975;Pye Records, Pye Records;45 PY.12124;France;;zeer courant, in een lot;"IMG20260913165216.jpg;IMG20260913165225.jpg";https://www.discogs.com/release/1014092
